央视,#genre#
江苏卫视,http://113.195.172.192:1808/hls/184/index.m3u8
安徽卫视,http://113.195.172.192:1808/hls/186/index.m3u8
山东卫视,http://113.195.172.192:1808/hls/187/index.m3u8
深圳卫视,http://113.195.172.192:1808/hls/188/index.m3u8
广东卫视,http://113.195.172.192:1808/hls/190/index.m3u8
湖北卫视,http://113.195.172.192:1808/hls/191/index.m3u8
天津卫视,http://113.195.172.192:1808/hls/192/index.m3u8
辽宁卫视,http://113.195.172.192:1808/hls/194/index.m3u8
吉林卫视,http://113.195.172.192:1808/hls/195/index.m3u8
四川卫视,http://113.195.172.192:1808/hls/196/index.m3u8
山西卫视,http://113.195.172.192:1808/hls/197/index.m3u8
重庆卫视,http://113.195.172.192:1808/hls/198/index.m3u8
河南卫视,http://113.195.172.192:1808/hls/199/index.m3u8
青海卫视,http://113.195.172.192:1808/hls/202/index.m3u8
云南卫视,http://113.195.172.192:1808/hls/204/index.m3u8
广西卫视,http://113.195.172.192:1808/hls/208/index.m3u8
贵州卫视,http://113.195.172.192:1808/hls/213/index.m3u8
河北卫视,http://113.195.172.192:1808/hls/200/index.m3u8
东南卫视,http://113.195.172.192:1808/hls/118/index.m3u8
宁夏卫视,http://113.195.172.192:1808/hls/205/index.m3u8
新疆卫视,http://113.195.172.192:1808/hls/206/index.m3u8
西藏卫视,http://113.195.172.192:1808/hls/210/index.m3u8
兵团卫视,http://113.195.172.192:1808/hls/211/index.m3u8
甘肃卫视,http://113.195.172.192:1808/hls/226/index.m3u8
黑龙江卫视,http://113.195.172.192:1808/hls/201/index.m3u8
内蒙古卫视,http://113.195.172.192:1808/hls/207/index.m3u8
三沙卫视,http://113.195.172.192:1808/hls/222/index.m3u8
厦门卫视,http://113.195.172.192:1808/hls/209/index.m3u8
陕西卫视,http://113.195.172.192:1808/hls/203/index.m3u8
海南卫视,http://113.195.172.192:1808/hls/55/index.m3u8

东方卫视,http://home.cola-service.com:51973/rtp/233.18.204.51:5140
浙江卫视,http://home.cola-service.com:51973/rtp/233.18.204.84:5140
